"","measurementID","eventID","parentEventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementDeterminedDate","measurementRemarks"
"12","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20110404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",0.849976043031539,NA,"Point-Quadrat. Shannon Index","20110404","https://vocabs.lter-europe.net/envthes/en/page/21513"
"13","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",9,"percentage","Point-Quadrat","20120315","https://vocabs.lter-europe.net/envthes/en/page/22064"
"14","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",10,"percentage","Point-Quadrat","20120315",NA
"15","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",68,"percentage","Point-Quadrat","20120315","https://vocabs.lter-europe.net/envthes/en/page/20537"
"16","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",104,"percentage","Point-Quadrat","20120315","https://vocabs.lter-europe.net/envthes/en/page/20537"
"17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",7,"total number","Point-Quadrat. Number of species","20120315","https://vocabs.lter-europe.net/envthes/en/page/22196"
"18","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20120315","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.37387559246565,NA,"Point-Quadrat. Shannon Index","20120315","https://vocabs.lter-europe.net/envthes/en/page/21513"
"19","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",5,"percentage","Point-Quadrat","20130401","https://vocabs.lter-europe.net/envthes/en/page/22064"
"20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",39,"percentage","Point-Quadrat","20130401",NA
"21","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",54,"percentage","Point-Quadrat","20130401","https://vocabs.lter-europe.net/envthes/en/page/20537"
"22","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",58,"percentage","Point-Quadrat","20130401","https://vocabs.lter-europe.net/envthes/en/page/20537"
"23","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",9,"total number","Point-Quadrat. Number of species","20130401","https://vocabs.lter-europe.net/envthes/en/page/22196"
"24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20130401","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.54506373593832,NA,"Point-Quadrat. Shannon Index","20130401","https://vocabs.lter-europe.net/envthes/en/page/21513"
"25","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",7,"percentage","Point-Quadrat","20140408","https://vocabs.lter-europe.net/envthes/en/page/22064"
"26","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",43,"percentage","Point-Quadrat","20140408",NA
"27","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",14,"percentage","Point-Quadrat","20140408","https://vocabs.lter-europe.net/envthes/en/page/20537"
"28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",14,"percentage","Point-Quadrat","20140408","https://vocabs.lter-europe.net/envthes/en/page/20537"
"29","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",2,"total number","Point-Quadrat. Number of species","20140408","https://vocabs.lter-europe.net/envthes/en/page/22196"
"30","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20140408","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",0.410116318288409,NA,"Point-Quadrat. Shannon Index","20140408","https://vocabs.lter-europe.net/envthes/en/page/21513"
"31","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",7,"percentage","Point-Quadrat","20150514","https://vocabs.lter-europe.net/envthes/en/page/22064"
"32","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",26,"percentage","Point-Quadrat","20150514",NA
"33","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",34,"percentage","Point-Quadrat","20150514","https://vocabs.lter-europe.net/envthes/en/page/20537"
"34","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",38,"percentage","Point-Quadrat","20150514","https://vocabs.lter-europe.net/envthes/en/page/20537"
"35","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",4,"total number","Point-Quadrat. Number of species","20150514","https://vocabs.lter-europe.net/envthes/en/page/22196"
"36","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20150514","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.21121442162504,NA,"Point-Quadrat. Shannon Index","20150514","https://vocabs.lter-europe.net/envthes/en/page/21513"
"37","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",3,"percentage","Point-Quadrat","20160318","https://vocabs.lter-europe.net/envthes/en/page/22064"
"38","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",30,"percentage","Point-Quadrat","20160318",NA
"39","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",34,"percentage","Point-Quadrat","20160318","https://vocabs.lter-europe.net/envthes/en/page/20537"
"40","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",36,"percentage","Point-Quadrat","20160318","https://vocabs.lter-europe.net/envthes/en/page/20537"
"41","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",4,"total number","Point-Quadrat. Number of species","20160318","https://vocabs.lter-europe.net/envthes/en/page/22196"
"42","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20160318","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.04197927640298,NA,"Point-Quadrat. Shannon Index","20160318","https://vocabs.lter-europe.net/envthes/en/page/21513"
"43","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",3,"percentage","Point-Quadrat","20170404","https://vocabs.lter-europe.net/envthes/en/page/22064"
"44","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",7,"percentage","Point-Quadrat","20170404",NA
"45","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",78,"percentage","Point-Quadrat","20170404","https://vocabs.lter-europe.net/envthes/en/page/20537"
"46","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",108,"percentage","Point-Quadrat","20170404","https://vocabs.lter-europe.net/envthes/en/page/20537"
"47","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",5,"total number","Point-Quadrat. Number of species","20170404","https://vocabs.lter-europe.net/envthes/en/page/22196"
"48","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20170404","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.18418083703544,NA,"Point-Quadrat. Shannon Index","20170404","https://vocabs.lter-europe.net/envthes/en/page/21513"
"49","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",6,"percentage","Point-Quadrat","20180406","https://vocabs.lter-europe.net/envthes/en/page/22064"
"50","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",16,"percentage","Point-Quadrat","20180406",NA
"51","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",40,"percentage","Point-Quadrat","20180406","https://vocabs.lter-europe.net/envthes/en/page/20537"
"52","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",46,"percentage","Point-Quadrat","20180406","https://vocabs.lter-europe.net/envthes/en/page/20537"
"53","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",3,"total number","Point-Quadrat. Number of species","20180406","https://vocabs.lter-europe.net/envthes/en/page/22196"
"54","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20180406","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",0.691502198054099,NA,"Point-Quadrat. Shannon Index","20180406","https://vocabs.lter-europe.net/envthes/en/page/21513"
"55","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",7,"percentage","Point-Quadrat","20190510","https://vocabs.lter-europe.net/envthes/en/page/22064"
"56","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",20,"percentage","Point-Quadrat","20190510",NA
"57","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",8,"percentage","Point-Quadrat","20190510","https://vocabs.lter-europe.net/envthes/en/page/20537"
"58","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",8,"percentage","Point-Quadrat","20190510","https://vocabs.lter-europe.net/envthes/en/page/20537"
"59","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",3,"total number","Point-Quadrat. Number of species","20190510","https://vocabs.lter-europe.net/envthes/en/page/22196"
"60","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20190510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.03972077083992,NA,"Point-Quadrat. Shannon Index","20190510","https://vocabs.lter-europe.net/envthes/en/page/21513"
"61","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",6,"percentage","Point-Quadrat","20200312","https://vocabs.lter-europe.net/envthes/en/page/22064"
"62","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",4,"percentage","Point-Quadrat","20200312",NA
"63","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",82,"percentage","Point-Quadrat","20200312","https://vocabs.lter-europe.net/envthes/en/page/20537"
"64","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",100,"percentage","Point-Quadrat","20200312","https://vocabs.lter-europe.net/envthes/en/page/20537"
"65","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",4,"total number","Point-Quadrat. Number of species","20200312","https://vocabs.lter-europe.net/envthes/en/page/22196"
"66","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20200312","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",0.724231212893176,NA,"Point-Quadrat. Shannon Index","20200312","https://vocabs.lter-europe.net/envthes/en/page/21513"
"67","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",3,"percentage","Point-Quadrat","20210420","https://vocabs.lter-europe.net/envthes/en/page/22064"
"68","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",5,"percentage","Point-Quadrat","20210420",NA
"69","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",68,"percentage","Point-Quadrat","20210420","https://vocabs.lter-europe.net/envthes/en/page/20537"
"70","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",82,"percentage","Point-Quadrat","20210420","https://vocabs.lter-europe.net/envthes/en/page/20537"
"71","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",5,"total number","Point-Quadrat. Number of species","20210420","https://vocabs.lter-europe.net/envthes/en/page/22196"
"72","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20210420","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",0.75129950288387,NA,"Point-Quadrat. Shannon Index","20210420","https://vocabs.lter-europe.net/envthes/en/page/21513"
"73","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",8,"percentage","Point-Quadrat","20220510","https://vocabs.lter-europe.net/envthes/en/page/22064"
"74","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",19,"percentage","Point-Quadrat","20220510",NA
"75","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",26,"percentage","Point-Quadrat","20220510","https://vocabs.lter-europe.net/envthes/en/page/20537"
"76","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",26,"percentage","Point-Quadrat","20220510","https://vocabs.lter-europe.net/envthes/en/page/20537"
"77","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",6,"total number","Point-Quadrat. Number of species","20220510","https://vocabs.lter-europe.net/envthes/en/page/22196"
"78","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20220510","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.52470739303014,NA,"Point-Quadrat. Shannon Index","20220510","https://vocabs.lter-europe.net/envthes/en/page/21513"
"79","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","bare soil cover",10,"percentage","Point-Quadrat","20230411","https://vocabs.lter-europe.net/envthes/en/page/22064"
"80","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","musk/lichen cover",16,"percentage","Point-Quadrat","20230411",NA
"81","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","vegetation cover",32,"percentage","Point-Quadrat","20230411","https://vocabs.lter-europe.net/envthes/en/page/20537"
"82","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411_V03","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","total specific cover",34,"percentage","Point-Quadrat","20230411","https://vocabs.lter-europe.net/envthes/en/page/20537"
"83","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411_V20","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","plant species richness",5,"total number","Point-Quadrat. Number of species","20230411","https://vocabs.lter-europe.net/envthes/en/page/22196"
"84","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411_V17","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1_20230411","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1","diversity index",1.26224316749001,NA,"Point-Quadrat. Shannon Index","20230411","https://vocabs.lter-europe.net/envthes/en/page/21513"
"85","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2_20100413_V24","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2","bare soil cover",2,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/22064"
"86","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2_20100413_V28","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2","musk/lichen cover",20,"percentage","Point-Quadrat","20100413",NA
"87","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2_20100413_V06","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2_20100413","CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2","vegetation cover",80,"percentage","Point-Quadrat","20100413","https://vocabs.lter-europe.net/envthes/en/page/20537"
